open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1395.0,1395.0,1300.0,1310.01,29177300.0,300308.SZ,20260623,中际旭创,NA,CNY
1313.61,1344.88,1282.15,1312.18,26225700.0,300308.SZ,20260624,中际旭创,NA,CNY
1326.0,1345.09,1280.02,1323.4,37609000.0,300308.SZ,20260625,中际旭创,NA,CNY
1296.0,1296.94,1235.13,1253.89,35281000.0,300308.SZ,20260626,中际旭创,NA,CNY
1239.0,1264.21,1169.49,1220.0,35289900.0,300308.SZ,20260629,中际旭创,NA,CNY
1223.01,1295.6,1218.21,1270.0,27678200.0,300308.SZ,20260630,中际旭创,NA,CNY
1263.5,1315.57,1208.0,1223.17,27155700.0,300308.SZ,20260701,中际旭创,NA,CNY
1160.0,1198.0,1127.4,1143.0,31762000.0,300308.SZ,20260702,中际旭创,NA,CNY
1130.0,1188.01,1115.0,1116.0,32861700.0,300308.SZ,20260703,中际旭创,NA,CNY
1136.54,1141.0,1060.34,1098.92,31556600.0,300308.SZ,20260706,中际旭创,NA,CNY
1098.0,1138.2,1089.0,1121.9,29286400.0,300308.SZ,20260707,中际旭创,NA,CNY
1134.8,1179.3,1114.56,1128.35,31732800.0,300308.SZ,20260708,中际旭创,NA,CNY
1153.0,1199.99,1117.01,1194.9,35888400.0,300308.SZ,20260709,中际旭创,NA,CNY
1210.0,1218.0,1093.98,1093.98,42326200.0,300308.SZ,20260710,中际旭创,NA,CNY
1100.01,1148.48,1076.8,1108.0,34452000.0,300308.SZ,20260713,中际旭创,NA,CNY
1108.53,1198.66,1098.0,1184.05,40047500.0,300308.SZ,20260714,中际旭创,NA,CNY
1190.0,1207.98,1160.0,1169.31,24794600.0,300308.SZ,20260715,中际旭创,NA,CNY
1122.22,1163.0,1098.0,1113.0,30663300.0,300308.SZ,20260716,中际旭创,NA,CNY
1057.36,1072.0,950.55,979.46,56186000.0,300308.SZ,20260717,中际旭创,NA,CNY
1028.43,1057.77,967.68,1004.0,45366500.0,300308.SZ,20260720,中际旭创,NA,CNY
1020.01,1136.8,988.82,1136.55,48115700.0,300308.SZ,20260721,中际旭创,NA,CNY
1110.0,1138.88,1060.5,1060.8,36798000.0,300308.SZ,20260722,中际旭创,NA,CNY
1453.0,1506.0,1394.84,1413.0,13837500.0,688256.SH,20260623,寒武纪,NA,CNY
1402.0,1468.88,1378.0,1453.0,14065600.0,688256.SH,20260624,寒武纪,NA,CNY
1460.0,1536.25,1436.0,1505.0,15982100.0,688256.SH,20260625,寒武纪,NA,CNY
1482.0,1518.98,1415.0,1458.0,12435200.0,688256.SH,20260626,寒武纪,NA,CNY
1462.33,1541.94,1420.0,1482.0,15117700.0,688256.SH,20260629,寒武纪,NA,CNY
1488.41,1620.0,1488.37,1595.55,16221600.0,688256.SH,20260630,寒武纪,NA,CNY
1560.0,1588.97,1470.01,1485.33,12580200.0,688256.SH,20260701,寒武纪,NA,CNY
1410.0,1448.66,1348.0,1372.0,14056400.0,688256.SH,20260702,寒武纪,NA,CNY
1344.14,1412.0,1340.0,1353.0,10192100.0,688256.SH,20260703,寒武纪,NA,CNY
1383.0,1389.86,1291.0,1369.75,10368300.0,688256.SH,20260706,寒武纪,NA,CNY
1355.0,1439.98,1346.06,1388.0,11875300.0,688256.SH,20260707,寒武纪,NA,CNY
1423.0,1479.31,1400.01,1413.55,11717700.0,688256.SH,20260708,寒武纪,NA,CNY
1442.7,1548.0,1393.0,1535.01,16544900.0,688256.SH,20260709,寒武纪,NA,CNY
1542.98,1569.97,1400.0,1400.0,13195000.0,688256.SH,20260710,寒武纪,NA,CNY
1421.4,1504.96,1363.0,1390.0,16476300.0,688256.SH,20260713,寒武纪,NA,CNY
1410.0,1425.98,1315.0,1411.0,13659800.0,688256.SH,20260714,寒武纪,NA,CNY
1420.0,1425.0,1334.0,1347.46,9470200.0,688256.SH,20260715,寒武纪,NA,CNY
1305.9,1357.77,1261.0,1279.22,13208700.0,688256.SH,20260716,寒武纪,NA,CNY
1268.0,1278.0,1156.0,1190.58,16650100.0,688256.SH,20260717,寒武纪,NA,CNY
1240.0,1278.53,1167.0,1209.0,16139900.0,688256.SH,20260720,寒武纪,NA,CNY
1260.0,1357.46,1208.0,1350.02,17184300.0,688256.SH,20260721,寒武纪,NA,CNY
1320.66,1382.8,1285.0,1310.0,13275700.0,688256.SH,20260722,寒武纪,NA,CNY
