ths_fore_np_fy1_stock,ths_fore_np_fy2_stock,ths_fore_np_fy3_stock,ths_fore_np_in12m_stock,ths_fore_np_yoy_stock,ths_fore_mbi_fy1_stock,ths_fore_mbi_fy2_stock,ths_fore_mbi_fy3_stock,ths_fore_mbi_yoy_stock,thscode,time,ths_pe_lyr_stock,ths_peg_lyr_stock,ths_pb_mrq_stock,ths_ps_lyr_stock,ths_dividend_rate_stock_stock,ths_per_lyr_stock
30092309075.344,52720851651.594,77557404031.724,42739494515.221,178.70334659145,93952773225.807,157808123870.97,226459134827.59,145.69281211311,300308.SZ,,,,,,,
,,,,,,,,,300308.SZ,,109.56868054163,1.0072097897338,33.24353821334,30.937314285503,,95.984482983002
