vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,中际旭创(300308.SZ) 2026年7月22日的开盘价、最高价、最低价、收盘价、成交量、成交额,1,A股实时行情,,,"|股票名称|股票代码|交易时间|交易状态|最新价(元)|开盘价(元)|涨跌(元)|涨跌幅(%)|振幅(%)|最高价(元)|最低价(元)|均价(元)|昨收(元)|总成交量(万手)|现手(手)|成交额|换手率(%)|量比|外盘(万手)|内盘(万手)|委比(%)|委差(手)|委买档位|委卖档位|涨停价(元)|跌停价(元)|总股本(亿股)|流通股(亿股)|总市值(亿元)|流通市值(亿元)|市净率|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中际旭创|300308|2026-07-23 15:00|交易结束|1072.52|1089.54|11.72|1.1|5.18|1115.0|1060.0|1084.542|1060.8|27.25|1976.92|295.58亿元|2.46|0.63|15.08|12.17|42.29|82|买一价:1072.52CNY,买一挂单量:64.08手;买二价:1072.51CNY,买二挂单量:2手;买三价:1072.5CNY,买三挂单量:70手;买四价:1072.39CNY,买四挂单量:1手;买五价:1072.38CNY,买五挂单量:1手|卖一价:1072.55CNY,卖一挂单量:2手;卖二价:1072.57CNY,卖二挂单量:1手;卖三价:1072.6CNY,卖三挂单量:51手;卖四价:1072.63CNY,卖四挂单量:1手;卖五价:1072.64CNY,卖五挂单量:1手|1272.96|848.64|11.15|11.1|11961.11|11904.33|34.53|",2026-07-23T15:35:12.463097+08:00
gildata,FinQuery,中际旭创(300308.SZ) 2026年7月22日的开盘价、最高价、最低价、收盘价、成交量、成交额,2,股票日行情,,,"|股票名称|股票代码|交易日|复权方式|前收盘（元）|今开盘（元）|最高价（元）|最低价（元）|收盘价（元）|均价（元）|涨跌（元）|涨跌幅（%）|振幅（%）|成交量（万股）|成交笔数（笔）|成交额（万元）|换手率（%）|量比|是否停牌|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|中际旭创|300308|2026-07-22|前复权|1136.55|1110.0|1138.88|1060.5|1060.8|1102.24|-75.75|-6.66|6.9|3679.8|218412|4056013.06|3.32|0.8969|否|",2026-07-23T15:35:12.463097+08:00
